price,engine_volume,engine_power,engine_type,Коробка,Кузов,Привод,Пробег,Руль,Состояние,Таможня,Цвет,год выпуска
587 000,1.7,130,Бензин,автоматическая,компактвэн,полный,191 000,Правый,Не требует ремонта,Растаможен,серый,2005
425 000,1.3,100,Бензин,роботизированная,хэтчбек 5 дв.,передний,169 000,Левый,Не требует ремонта,Растаможен,красный,2008
590 000,2.4,190,Бензин,автоматическая,седан,передний,181 091,Левый,Не требует ремонта,Растаможен,коричневый,2006
517 700,2.4,162,Бензин,автоматическая,внедорожник 5 дв.,полный,155 663,Левый,Не требует ремонта,Растаможен,белый,2002
1 199 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,137 428,Левый,Не требует ремонта,Растаможен,серебристый,2011
826 500,"2.0,150,Бензин, газобаллонное оборудование",автоматическая,внедорожник 5 дв.,полный,222 500,Левый,Не требует ремонта,Растаможен,серебристый,2008
130 000,2.2,150,Бензин,автоматическая,купе,передний,350 000,Левый,Не требует ремонта,Растаможен,красный,1995
1 588 000,3.5,249,Бензин,автоматическая,внедорожник 5 дв.,полный,165 000,Левый,Не требует ремонта,Растаможен,серебристый,2011
130 000,2.2,150,Бензин,автоматическая,купе,передний,350 000,Левый,Не требует ремонта,Растаможен,красный,1995
2 154 000,2.0,150,Бензин,вариатор,внедорожник 5 дв.,полный,48 111,Левый,Не требует ремонта,Растаможен,чёрный,2018
975 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,передний,171 000,Левый,Не требует ремонта,Растаможен,голубой,2008
549 000,1.3,100,Бензин,вариатор,хэтчбек 5 дв.,передний,78 000,Правый,Не требует ремонта,Растаможен,голубой,2009
1 540 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,100 800,Левый,Не требует ремонта,Растаможен,чёрный,2014
229 900,1.4,90,Бензин,автоматическая,хэтчбек 5 дв.,передний,265 331,Левый,Не требует ремонта,Растаможен,красный,2000
840 000,1.8,142,Бензин,механическая,седан,передний,122 915,Левый,Не требует ремонта,Растаможен,белый,2012
798 000,1.3,88,Гибрид,вариатор,универсал 5 дв.,передний,99 000,Правый,Не требует ремонта,Растаможен,серый,2014
397 000,2.0,147,Бензин,механическая,внедорожник 5 дв.,полный,370 000,Левый,Не требует ремонта,Растаможен,зелёный,2000
400 000,1.8,140,Бензин,механическая,седан,передний,192 000,Левый,Не требует ремонта,Растаможен,чёрный,2008
1 299 000,2.4,190,Бензин,автоматическая,внедорожник 5 дв.,полный,190 000,Левый,Не требует ремонта,Растаможен,чёрный,2013
827 000,1.8,140,Бензин,роботизированная,хэтчбек 5 дв.,передний,30 000,Левый,Не требует ремонта,Растаможен,красный,2008
698 000,1.3,99,Бензин,вариатор,хэтчбек 5 дв.,передний,98 300,Правый,Не требует ремонта,Растаможен,красный,2012
599 000,2.0,156,Бензин,автоматическая,седан,передний,171 872,Левый,Не требует ремонта,Растаможен,белый,2007
300 000,1.3,86,Бензин,вариатор,хэтчбек 5 дв.,передний,240 000,Правый,Не требует ремонта,Растаможен,голубой,2002
845 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,158 635,Левый,Не требует ремонта,Растаможен,красный,2008
468 000,1.8,140,Бензин,механическая,хэтчбек 5 дв.,передний,192 628,Левый,Не требует ремонта,Растаможен,бежевый,2008
430 000,1.3,83,Бензин,вариатор,хэтчбек 5 дв.,передний,84 000,Левый,Не требует ремонта,Растаможен,розовый,2007
1 399 000,2.4,180,Бензин,автоматическая,седан,передний,146 700,Левый,Не требует ремонта,Растаможен,белый,2013
371 000,1.2,78,Бензин,механическая,хэтчбек 5 дв.,передний,219 000,Левый,Не требует ремонта,Растаможен,серый,2005
1 100 000,2.4,180,Бензин,автоматическая,седан,передний,227 000,Левый,Не требует ремонта,Растаможен,чёрный,2013
590 000,2.4,190,Бензин,автоматическая,седан,передний,182 000,Левый,Не требует ремонта,Растаможен,чёрный,2006
780 000,2.4,200,Бензин,автоматическая,седан,передний,200 000,Левый,Не требует ремонта,Растаможен,белый,2011
